Team,Player,Position,Overall,PAC,SHO,PAS,DRI,DEF,PHY,Rating_Source
Australia,Kai Trewin,DEF,66,70,38,52,56,64,64,Estimated
Australia,Jackson Irvine,MID,76,76,66,74,74,68,74,Official
Australia,Ajdin Hrustic,MID,74,72,66,74,76,54,66,Official
Australia,Connor Metcalfe,MID,70,72,60,68,70,60,68,Estimated
Australia,Aiden O'Neill,MID,69,70,56,66,68,60,66,Estimated
Australia,Paul Okon-Engstler,MID,67,68,54,64,66,56,64,Estimated
Australia,Cameron Devlin,MID,71,74,60,68,70,62,68,Estimated
Australia,Nestory Irankunda,FWD,76,90,70,68,78,34,64,Estimated
Australia,Mathew Leckie,FWD,75,86,68,64,74,38,68,Official
Australia,Awer Mabil,FWD,74,88,66,62,74,36,66,Official
Australia,Mohamed Toure,FWD,70,80,62,58,68,34,62,Estimated
Australia,Nishan Velupillay,FWD,68,82,60,58,68,32,60,Estimated
Australia,Cristian Volpato,FWD,73,80,68,70,74,40,64,Official
Australia,Tete Yengi,FWD,69,76,62,58,66,34,64,Estimated
Austria,Patrick Pentz,GK,78,72,54,60,68,14,76,Official
Austria,Alexander Schlager,GK,75,68,50,56,64,12,72,Official
Austria,Florian Wiegele,GK,66,60,44,48,54,10,64,Estimated
Austria,David Affengruber,DEF,72,70,42,62,66,72,72,Estimated
Austria,David Alaba,DEF,84,76,72,82,84,82,78,Official
Austria,Kevin Danso,DEF,82,76,50,66,72,84,84,Official
Austria,Marco Friedl,DEF,76,76,50,68,72,76,74,Official
Austria,Philipp Lienhart,DEF,75,68,44,62,66,76,74,Official
Austria,Phillipp Mwene,DEF,73,76,46,64,68,72,70,Official
Austria,Stefan Posch,DEF,76,76,50,68,72,76,74,Official
Austria,Alexander Prass,DEF,74,78,52,68,72,72,72,Estimated
Austria,Michael Svoboda,DEF,72,66,42,58,62,74,72,Estimated
Austria,Christoph Baumgartner,MID,80,80,72,78,80,60,72,Official
Austria,Carney Chukwuemeka,MID,78,78,70,76,80,56,72,Official
Austria,Florian Grillitsch,MID,76,68,64,76,74,72,72,Official
Austria,Konrad Laimer,MID,83,88,72,78,80,76,82,Official
Austria,Marcel Sabitzer,MID,83,82,78,80,82,68,78,Official
Austria,Xaver Schlager,MID,80,76,68,80,80,72,74,Official
Austria,Romano Schmid,MID,76,78,68,74,76,58,68,Official
Austria,Alessandro Schopf,MID,72,72,64,72,72,60,68,Estimated
Austria,Nicolas Seiwald,MID,79,76,66,76,76,72,76,Official
Austria,Paul Wanner,MID,74,76,66,72,76,56,68,Estimated
Austria,Patrick Wimmer,MID,74,80,66,70,76,58,68,Official
Austria,Marko Arnautovic,FWD,80,76,78,72,80,42,76,Official
Austria,Michael Gregoritsch,FWD,78,74,76,70,76,40,74,Official
Austria,Sasa Kalajdzic,FWD,76,72,76,62,72,36,78,Official
Belgium,Thibaut Courtois,GK,89,88,83,74,90,52,86,Official
Belgium,Senne Lammens,GK,74,70,52,56,64,12,72,Estimated
Belgium,Mike Penders,GK,72,68,50,54,62,10,70,Estimated
Belgium,Timothy Castagne,DEF,81,84,60,74,76,78,76,Official
Belgium,Zeno Debast,DEF,79,76,52,68,72,80,76,Official
Belgium,Maxim De Cuyper,DEF,78,80,54,72,74,76,74,Official
Belgium,Koni De Winter,DEF,75,70,46,60,64,76,74,Estimated
Belgium,Brandon Mechele,DEF,74,66,44,58,62,76,74,Estimated
Belgium,Thomas Meunier,DEF,78,80,58,72,74,76,74,Official
Belgium,Nathan Ngoy,DEF,70,72,44,58,62,70,68,Estimated
Belgium,Joaquin Seys,DEF,68,70,42,56,60,68,66,Estimated
Belgium,Arthur Theate,DEF,79,76,52,68,72,80,78,Official
Belgium,Kevin De Bruyne,MID,88,76,82,92,88,68,78,Official
Belgium,Amadou Onana,MID,84,82,70,80,80,82,86,Official
Belgium,Nicolas Raskin,MID,76,74,64,74,74,70,74,Official
Belgium,Youri Tielemans,MID,84,74,78,84,84,70,74,Official
Belgium,Hans Vanaken,MID,80,68,74,82,80,64,72,Official
Belgium,Axel Witsel,MID,79,72,68,78,78,74,76,Official
Belgium,Charles De Ketelaere,FWD,83,82,78,80,84,52,72,Official
Belgium,Jeremy Doku,FWD,85,96,76,76,88,36,68,Official
Belgium,Matias Fernandez-Pardo,FWD,72,84,66,66,72,36,64,Estimated
Belgium,Romelu Lukaku,FWD,85,76,88,74,82,38,88,Official
Belgium,Dodi Lukebakio,FWD,79,88,74,72,80,38,72,Official
Belgium,Diego Moreira,FWD,73,84,66,68,74,36,64,Estimated
Belgium,Alexis Saelemaekers,FWD,79,88,72,74,80,52,72,Official
Belgium,Leandro Trossard,FWD,83,84,80,78,84,50,70,Official
Bosnia-Herzegovina,Nikola Vasilj,GK,76,70,52,58,66,14,74,Official
Bosnia-Herzegovina,Martin Zlomislic,GK,68,62,46,50,56,10,66,Estimated
Bosnia-Herzegovina,Osman Hadzikic,GK,66,60,44,48,52,8,64,Estimated
Bosnia-Herzegovina,Sead Kolasinac,DEF,78,76,54,68,70,76,80,Official
Bosnia-Herzegovina,Amar Dedic,DEF,75,78,52,66,70,74,72,Official
Bosnia-Herzegovina,Nihad Mujakic,DEF,68,70,40,54,58,68,68,Estimated
Bosnia-Herzegovina,Nikola Katic,DEF,73,68,44,58,62,74,74,Estimated
Bosnia-Herzegovina,Tarik Muharemovic,DEF,72,68,44,58,62,72,72,Estimated
Bosnia-Herzegovina,Stjepan Radeljic,DEF,69,70,42,56,60,68,68,Estimated
Bosnia-Herzegovina,Dennis Hadzikadunic,DEF,73,70,44,60,64,74,72,Estimated
Bosnia-Herzegovina,Nidal Celik,DEF,67,70,38,52,56,66,66,Estimated
Bosnia-Herzegovina,Amir Hadziahmetovic,MID,75,72,62,72,72,66,72,Official
Bosnia-Herzegovina,Ivan Sunjic,MID,74,68,58,70,70,68,72,Official
Bosnia-Herzegovina,Ivan Basic,MID,72,70,62,70,72,60,66,Estimated
Bosnia-Herzegovina,Dzenis Burnic,MID,71,72,60,68,70,58,66,Estimated
Bosnia-Herzegovina,Ermin Mahmic,MID,68,68,56,64,66,56,64,Estimated
Bosnia-Herzegovina,Benjamin Tahirovic,MID,76,74,66,74,74,62,68,Official
Bosnia-Herzegovina,Amar Memic,MID,67,68,54,62,64,54,62,Estimated
Bosnia-Herzegovina,Armin Gigovic,MID,69,72,60,66,68,56,64,Estimated
Bosnia-Herzegovina,Kerim Alajbegovic,MID,67,68,56,62,64,54,62,Estimated
Bosnia-Herzegovina,Esmir Bajraktarevic,FWD,72,84,66,64,72,36,62,Estimated
Bosnia-Herzegovina,Ermedin Demirovic,FWD,81,82,78,72,80,40,74,Official
Bosnia-Herzegovina,Jovo Lukic,FWD,68,78,62,58,66,32,62,Estimated
Bosnia-Herzegovina,Samed Bazdar,FWD,67,76,60,56,64,30,60,Estimated
Bosnia-Herzegovina,Haris Tabakovic,FWD,73,74,70,64,70,36,68,Official
Bosnia-Herzegovina,Edin Dzeko,FWD,78,68,78,74,78,38,72,Official
Brazil,Alisson,GK,89,90,83,72,90,52,89,Official
Brazil,Ederson,GK,86,88,80,72,84,48,86,Official
Brazil,Weverton,GK,78,74,58,60,70,14,76,Official
Brazil,Marquinhos,DEF,88,76,56,80,80,88,82,Official
Brazil,Danilo,DEF,80,84,56,76,76,78,76,Official
Brazil,Alex Sandro,DEF,78,80,56,72,74,76,74,Official
Brazil,Gabriel Magalhaes,DEF,88,74,52,72,76,88,86,Official
Brazil,Bremer,DEF,85,78,52,68,74,86,86,Official
Brazil,Wesley,DEF,73,82,50,64,68,70,74,Estimated
Brazil,Roger Ibanez,DEF,77,76,50,66,68,78,78,Official
Brazil,Douglas Santos,DEF,74,78,50,66,68,74,72,Official
Brazil,Leo Pereira,DEF,76,74,48,64,66,78,76,Official
Brazil,Casemiro,MID,84,68,72,80,78,86,86,Official
Brazil,Lucas Paqueta,MID,86,80,78,86,88,64,76,Official
Brazil,Bruno Guimaraes,MID,86,76,72,84,84,80,82,Official
Brazil,Fabinho,MID,82,72,66,78,74,82,82,Official
Brazil,Danilo Santos,MID,73,72,60,70,70,64,70,Estimated
Brazil,Neymar,FWD,86,80,84,88,90,38,72,Official
Brazil,Vinicius Jr,FWD,89,96,82,80,90,36,74,Official
Brazil,Raphinha,FWD,89,90,84,84,88,52,74,Official
Brazil,Gabriel Martinelli,FWD,85,92,80,76,84,44,74,Official
Brazil,Matheus Cunha,FWD,83,88,80,76,82,42,74,Official
Brazil,Endrick,FWD,82,88,80,68,82,36,74,Official
Brazil,Luiz Henrique,FWD,78,90,72,72,78,36,68,Estimated
Brazil,Igor Thiago,FWD,75,80,72,66,74,36,70,Estimated
Brazil,Rayan,FWD,73,88,68,64,74,32,64,Estimated
Canada,Dayne St Clair,GK,76,70,52,58,68,12,74,Official
Canada,Maxime Crepeau,GK,74,68,50,56,64,10,72,Official
Canada,Owen Goodman,GK,71,64,48,52,60,8,68,Estimated
Canada,Alistair Johnston,DEF,78,82,54,70,72,76,74,Official
Canada,Luc de Fougerolles,DEF,67,72,42,56,58,66,66,Estimated
Canada,Alfie Jones,DEF,69,68,42,56,60,70,70,Estimated
Canada,Joel Waterman,DEF,70,70,44,58,60,70,70,Estimated
Canada,Derek Cornelius,DEF,73,72,46,62,64,74,72,Official
Canada,Moise Bombito,DEF,74,74,48,64,66,74,72,Official
Canada,Alphonso Davies,DEF,86,97,66,80,86,72,72,Official
Canada,Richie Laryea,DEF,74,86,52,66,70,70,68,Official
Canada,Niko Sigur,DEF,67,72,42,56,58,66,66,Estimated
Canada,Stephen Eustaquio,MID,80,76,68,78,78,68,74,Official
Canada,Ismael Kone,MID,76,78,64,72,74,62,72,Official
Canada,Tajon Buchanan,MID,79,92,70,72,78,52,68,Official
Canada,Mathieu Choiniere,MID,72,82,62,66,70,48,64,Estimated
Canada,Ali Ahmed,MID,68,72,58,64,66,54,62,Estimated
Canada,Nathan Saliba,MID,67,70,56,62,64,52,62,Estimated
Canada,Liam Millar,FWD,73,88,64,62,72,36,62,Official
Canada,Jacob Shaffelburg,FWD,71,86,62,60,70,34,60,Estimated
Canada,Jonathan Osorio,MID,75,76,66,72,74,60,68,Official
Canada,Jonathan David,FWD,86,86,88,78,84,42,74,Official
Canada,Cyle Larin,FWD,78,80,78,66,76,40,76,Official
Canada,Tani Oluwaseyi,FWD,72,86,64,62,72,34,64,Estimated
Canada,Promise David,FWD,68,84,60,58,66,30,60,Estimated
Cape Verde,Vozinha,GK,74,68,52,56,64,12,72,Official
Cape Verde,Marcio Rosa,GK,69,62,46,50,56,10,66,Estimated
Cape Verde,CJ dos Santos,GK,70,64,48,52,58,10,68,Estimated
Cape Verde,Stopira,DEF,73,68,44,60,64,74,72,Official
Cape Verde,Roberto Lopes,DEF,72,68,44,60,62,72,70,Official
Cape Verde,Joao Paulo Fernandes,DEF,69,70,42,56,58,68,68,Estimated
Cape Verde,Diney Borges,DEF,68,68,40,54,56,68,68,Estimated
Cape Verde,Logan Costa,DEF,76,72,48,64,66,76,74,Official
Cape Verde,Steven Moreira,DEF,72,74,46,62,64,70,68,Official
Cape Verde,Wagner Pina,DEF,67,68,40,52,54,66,66,Estimated
Cape Verde,Sidny Cabral,DEF,67,68,40,52,54,66,66,Estimated
Cape Verde,Kelvin Pires,DEF,66,66,38,50,52,64,64,Estimated
Cape Verde,Jamiro Monteiro,MID,76,78,66,72,74,58,68,Official
Cape Verde,Kevin Pina,MID,69,72,58,64,66,54,62,Estimated
Cape Verde,Deroy Duarte,MID,68,72,56,62,64,54,62,Estimated
Cape Verde,Telmo Arcanjo,MID,70,74,60,66,68,54,64,Estimated
Cape Verde,Laros Duarte,MID,72,76,62,68,70,56,64,Official
Cape Verde,Yannick Semedo,MID,70,74,60,66,68,54,64,Estimated
Cape Verde,Ryan Mendes,FWD,73,84,66,64,72,36,64,Official
Cape Verde,Garry Rodrigues,FWD,74,86,68,64,74,36,64,Official
Cape Verde,Willy Semedo,FWD,68,80,60,58,66,30,60,Estimated
Cape Verde,Jovane Cabral,FWD,75,86,68,66,74,38,66,Official
Cape Verde,Gilson Benchimol,FWD,66,78,58,56,64,28,58,Estimated
Cape Verde,Dailon Livramento,FWD,68,80,60,58,66,32,60,Estimated
Cape Verde,Helio Varela,FWD,67,78,58,56,64,30,58,Estimated
Cape Verde,Nuno da Costa,FWD,72,80,66,62,70,34,66,Official
Colombia,Camilo Vargas,GK,77,72,54,58,68,14,74,Official
Colombia,Alvaro Montero,GK,74,68,52,56,64,12,72,Official
Colombia,David Ospina,GK,78,74,56,60,70,14,74,Official
Colombia,Davinson Sanchez,DEF,83,78,52,68,72,84,84,Official
Colombia,Jhon Lucumi,DEF,80,76,50,66,70,82,80,Official
Colombia,Yerry Mina,DEF,78,72,52,62,66,80,82,Official
Colombia,Willer Ditta,DEF,72,70,44,58,62,72,72,Estimated
Colombia,Daniel Munoz,DEF,79,82,56,68,72,76,74,Official
Colombia,Santiago Arias,DEF,75,78,52,66,68,74,70,Official
Colombia,Johan Mojica,DEF,77,80,54,70,72,76,72,Official
Colombia,Deiver Machado,DEF,73,76,48,62,66,72,68,Estimated
Colombia,Richard Rios,MID,78,78,66,74,76,66,74,Official
Colombia,Jefferson Lerma,MID,81,74,66,76,74,78,82,Official
Colombia,Kevin Castano,MID,72,72,62,68,68,64,70,Estimated
Colombia,Juan Camilo Portilla,MID,70,72,60,66,68,58,66,Estimated
Colombia,Gustavo Puerta,MID,73,74,62,70,70,60,68,Estimated
Colombia,Jhon Arias,MID,79,84,72,74,78,54,68,Official
Colombia,Jorge Carrascal,MID,78,82,72,76,78,52,68,Official
Colombia,Juan Fernando Quintero,MID,80,74,76,82,82,52,66,Official
Colombia,James Rodriguez,MID,84,72,80,88,86,50,68,Official
Colombia,Jaminton Campaz,MID,72,82,64,66,72,44,64,Estimated
Colombia,Juan Camilo Hernandez,FWD,82,84,80,74,82,38,70,Official
Colombia,Luis Diaz,FWD,86,92,80,78,86,44,72,Official
Colombia,Luis Suarez,FWD,68,60,72,72,74,38,64,Official
Colombia,Carlos Gomez,FWD,69,80,62,60,68,32,62,Estimated
Colombia,Jhon Cordoba,FWD,76,78,76,64,74,38,78,Official
Croatia,Dominik Livakovic,GK,84,82,66,68,82,24,82,Official
Croatia,Dominik Kotarski,GK,74,70,52,56,66,12,72,Estimated
Croatia,Ivor Pandur,GK,70,66,48,52,60,10,68,Estimated
Croatia,Josko Gvardiol,DEF,87,82,58,76,80,88,84,Official
Croatia,Duje Caleta-Car,DEF,79,72,48,66,68,80,78,Official
Croatia,Josip Sutalo,DEF,77,74,50,64,66,78,76,Official
Croatia,Josip Stanisic,DEF,78,80,52,68,72,76,74,Official
Croatia,Marin Pongracic,DEF,76,72,48,62,64,78,76,Official
Croatia,Martin Erlic,DEF,74,68,46,60,62,76,74,Estimated
Croatia,Luka Vuskovic,DEF,74,70,46,60,62,76,74,Estimated
Croatia,Luka Modric,MID,86,76,80,90,88,66,72,Official
Croatia,Mateo Kovacic,MID,85,80,74,86,86,72,74,Official
Croatia,Mario Pasalic,MID,80,76,74,78,78,62,72,Official
Croatia,Nikola Vlasic,MID,79,80,72,76,78,58,70,Official
Croatia,Luka Sucic,MID,78,76,70,76,78,58,68,Official
Croatia,Martin Baturina,MID,77,76,70,76,76,56,66,Official
Croatia,Kristijan Jakic,MID,74,72,62,70,70,66,70,Official
Croatia,Petar Sucic,MID,73,74,62,70,70,58,66,Estimated
Croatia,Nikola Moro,MID,72,72,60,68,68,62,68,Estimated
Croatia,Toni Fruk,MID,68,70,56,64,64,56,62,Estimated
Croatia,Ivan Perisic,FWD,81,82,74,76,78,56,74,Official
Croatia,Andrej Kramaric,FWD,82,80,82,74,80,42,74,Official
Croatia,Ante Budimir,FWD,77,74,76,66,72,40,76,Official
Croatia,Marco Pasalic,FWD,72,76,68,62,70,36,68,Estimated
Croatia,Petar Musa,FWD,76,80,74,66,72,38,74,Official
Croatia,Igor Matanovic,FWD,73,76,70,62,68,36,72,Estimated
Curacao,Eloy Room,GK,76,70,54,58,68,12,74,Official
Curacao,Trevor Doornbusch,GK,68,62,46,50,58,10,66,Estimated
Curacao,Tyrick Bodack,GK,66,60,44,48,54,8,62,Estimated
Curacao,Jurien Gaari,DEF,70,72,44,60,62,70,68,Estimated
Curacao,Roshon van Eijma,DEF,71,74,46,62,64,70,68,Estimated
Curacao,Sherel Floranus,DEF,69,70,42,58,60,68,68,Estimated
Curacao,Joshua Brenet,DEF,73,78,48,64,66,70,68,Official
Curacao,Shurandy Sambo,DEF,70,72,44,60,62,70,68,Estimated
Curacao,Armando Obispo,DEF,74,72,46,62,64,74,72,Official
Curacao,Riechedly Bazoer,DEF,75,74,50,66,68,74,72,Official
Curacao,Deveron Fonville,DEF,67,68,40,54,56,66,64,Estimated
Curacao,Leandro Bacuna,MID,77,76,68,72,74,60,70,Official
Curacao,Juninho Bacuna,MID,75,76,66,70,72,58,68,Official
Curacao,Godfried Roemeratoe,MID,67,68,54,62,64,52,60,Estimated
Curacao,Kevin Felida,MID,67,70,56,62,64,52,62,Estimated
Curacao,Livano Comenencia,MID,68,70,56,62,64,54,62,Estimated
Curacao,Ar'jany Martha,MID,71,74,60,66,68,54,64,Estimated
Curacao,Tyrese Noslin,FWD,72,84,64,62,70,34,62,Official
Curacao,Kenji Gorre,FWD,71,82,64,60,70,32,62,Official
Curacao,Brandley Kuwas,FWD,70,82,62,58,68,30,60,Official
Curacao,Gervane Kastaneer,FWD,69,80,62,58,66,30,60,Official
Curacao,Jeremy Antonisse,FWD,67,78,58,56,64,28,58,Estimated
Curacao,Jearl Margaritha,FWD,66,76,56,54,62,28,58,Estimated
Curacao,Jurgen Locadia,FWD,73,82,68,62,70,34,66,Official
Curacao,Sontje Hansen,FWD,72,82,66,60,68,32,64,Official
Curacao,Tahith Chong,FWD,76,88,70,68,76,36,64,Official
Czechia,Matej Kovar,GK,82,80,64,66,78,20,80,Official
Czechia,Jindrich Stanek,GK,79,76,60,62,74,18,76,Official
Czechia,Lukas Hornicek,GK,72,66,50,54,62,10,68,Estimated
Czechia,Vladimir Coufal,DEF,78,82,54,68,70,76,72,Official
Czechia,Tomas Holes,DEF,76,72,50,64,66,76,74,Official
Czechia,Ladislav Krejci,DEF,77,74,52,66,68,78,74,Official
Czechia,David Zima,DEF,74,72,48,62,64,74,72,Official
Czechia,Jaroslav Zeleny,DEF,68,68,40,54,56,68,68,Estimated
Czechia,David Jurasek,DEF,74,76,50,64,66,72,68,Official
Czechia,David Doudera,DEF,70,70,44,58,60,70,70,Estimated
Czechia,Robin Hranac,DEF,75,72,50,64,66,76,74,Official
Czechia,Stepan Chaloupek,DEF,67,68,40,52,54,66,66,Estimated
Czechia,Tomas Soucek,MID,83,72,74,76,78,80,84,Official
Czechia,Vladimir Darida,MID,75,72,64,74,72,64,70,Official
Czechia,Lukas Provod,MID,74,78,64,70,72,58,68,Official
Czechia,Michal Sadilek,MID,73,72,62,70,70,62,68,Estimated
Czechia,Pavel Sulc,MID,74,76,66,70,72,56,66,Official
Czechia,Lukas Cerv,MID,70,72,60,66,68,56,64,Estimated
Czechia,Hugo Sochurek,MID,67,68,56,62,64,52,60,Estimated
Czechia,Alexandr Sojka,MID,67,68,54,62,64,52,62,Estimated
Czechia,Denis Visinsky,MID,68,70,58,64,66,52,62,Estimated
Czechia,Patrik Schick,FWD,83,76,84,74,80,36,78,Official
Czechia,Adam Hlozek,FWD,80,84,76,72,78,38,72,Official
Czechia,Jan Kuchta,FWD,73,76,70,62,68,36,70,Official
Czechia,Mojmir Chytil,FWD,72,76,68,62,66,34,68,Estimated
Czechia,Tomas Chory,FWD,70,72,66,60,64,32,70,Estimated
DR Congo,Matthieu Epolo,GK,74,68,52,56,64,12,72,Estimated
DR Congo,Timothy Fayulu,GK,70,64,48,52,58,10,68,Estimated
DR Congo,Lionel Mpasi,GK,67,60,44,48,54,8,64,Estimated
DR Congo,Dylan Batubinsika,DEF,74,72,48,62,64,74,74,Official
DR Congo,Gedeon Kalulu,DEF,76,74,50,64,66,76,74,Official
DR Congo,Steve Kapuadi,DEF,71,70,44,58,60,70,70,Estimated
DR Congo,Joris Kayembe,DEF,72,76,48,62,64,70,68,Official
DR Congo,Arthur Masuaku,DEF,75,78,52,66,68,72,72,Official
DR Congo,Chancel Mbemba,DEF,77,72,50,64,66,78,78,Official
DR Congo,Axel Tuanzebe,DEF,72,72,46,60,62,72,72,Official
DR Congo,Aaron Wan-Bissaka,DEF,78,82,52,64,70,76,72,Official
DR Congo,Brian Cipenga,MID,67,68,54,62,64,52,60,Estimated
DR Congo,Meshack Elia,MID,68,70,56,62,64,54,62,Estimated
DR Congo,Gael Kakuta,MID,74,80,68,72,76,48,64,Official
DR Congo,Edo Kayembe,MID,68,70,58,64,66,54,62,Estimated
DR Congo,Nathanael Mbuku,MID,72,82,64,66,72,44,62,Official
DR Congo,Samuel Moutoussamy,MID,71,70,60,68,68,58,68,Official
DR Congo,Ngal'ayel Mukau,MID,72,76,62,66,70,54,64,Estimated
DR Congo,Charles Pickel,MID,73,70,62,70,70,62,70,Official
DR Congo,Noah Sadiki,MID,70,72,58,64,66,58,66,Estimated
DR Congo,Aaron Tshibola,MID,68,68,56,62,64,56,64,Estimated
DR Congo,Cedric Bakambu,FWD,77,82,74,68,76,36,68,Official
DR Congo,Simon Banza,FWD,76,80,74,66,74,36,70,Official
DR Congo,Fiston Mayele,FWD,72,80,68,60,68,32,66,Estimated
DR Congo,Yoane Wissa,FWD,80,88,76,70,78,38,70,Official
DR Congo,Theo Bongonda,FWD,74,88,68,66,74,34,64,Official
Ecuador,Hernan Galindez,GK,74,68,52,56,64,12,72,Official
Ecuador,Moises Ramirez,GK,69,64,48,52,58,10,66,Estimated
Ecuador,Gonzalo Valle,GK,67,62,44,48,54,8,64,Estimated
Ecuador,Felix Torres,DEF,80,74,50,66,68,80,80,Official
Ecuador,Piero Hincapie,DEF,83,78,52,70,72,84,80,Official
Ecuador,Pervis Estupinan,DEF,84,86,58,74,78,80,76,Official
Ecuador,Willian Pacho,DEF,82,78,52,68,72,84,80,Official
Ecuador,Joel Ordonez,DEF,75,74,48,62,64,76,74,Official
Ecuador,Jackson Porozo,DEF,72,70,46,60,62,72,72,Official
Ecuador,Angelo Preciado,DEF,74,78,50,64,66,72,70,Official
Ecuador,Moises Caicedo,MID,87,80,72,82,82,84,84,Official
Ecuador,Alan Franco,MID,74,70,62,68,68,66,70,Official
Ecuador,Kendry Paez,MID,80,82,74,78,80,58,68,Official
Ecuador,Gonzalo Plata,MID,77,88,68,68,76,44,66,Official
Ecuador,Pedro Vite,MID,70,74,60,66,68,54,62,Estimated
Ecuador,Jordy Alcivar,MID,70,72,58,66,66,56,64,Estimated
Ecuador,Denil Castillo,MID,69,72,58,64,66,54,62,Estimated
Ecuador,John Yeboah,FWD,72,84,66,62,70,34,62,Official
Ecuador,Nilson Angulo,FWD,73,84,66,64,72,34,62,Estimated
Ecuador,Alan Minda,MID,69,72,60,64,66,52,62,Estimated
Ecuador,Yaimar Medina,DEF,72,72,46,60,62,70,68,Estimated
