date,team,elo_rating
2018-10-11,Bosnia and Herzegovina,1728.3
2018-10-11,United States,1750.7
2018-10-11,Colombia,1888.6
2018-10-12,Belgium,2052.2
2018-10-12,Switzerland,1855.8
2018-10-12,Croatia,1898.6
2018-10-12,England,1893.1
2018-10-12,Japan,1784.4
2018-10-12,Panama,1552.6
2018-10-12,South Korea,1758.7
2018-10-12,Uruguay,1897.8
2018-10-12,Qatar,1614.2
2018-10-12,Ecuador,1707.6
2018-10-12,Saudi Arabia,1629.8
2018-10-12,Brazil,2073.3
2018-10-13,Netherlands,1917.6
2018-10-13,Germany,1853.4
2018-10-14,Scotland,1608.7
2018-10-14,Portugal,1921.7
2018-10-15,Croatia,1899.9
2018-10-15,Jordan,1534.7
2018-10-15,Saudi Arabia,1626.5
2018-10-15,Iraq,1612.6
2018-10-15,Spain,2036.9
2018-10-15,England,1935.1
2018-10-16,France,2102.8
2018-10-16,Germany,1847.3
2018-10-16,Belgium,2046.3
2018-10-16,Netherlands,1923.5
2018-10-16,Japan,1802.5
2018-10-16,Uruguay,1879.6
2018-10-16,South Korea,1751.7
2018-10-16,Panama,1559.6
2018-10-16,Uzbekistan,1499.0
2018-10-16,Qatar,1597.9
2018-10-16,Argentina,1874.3
2018-10-16,Brazil,2082.0
2018-11-14,Switzerland,1838.1
2018-11-14,Qatar,1615.6
2018-11-15,Croatia,1927.6
2018-11-15,Spain,2009.3
2018-11-15,Austria,1716.0
2018-11-15,Bosnia and Herzegovina,1734.9
2018-11-15,England,1940.8
2018-11-15,United States,1745.0
2018-11-16,Netherlands,1969.4
2018-11-16,France,2056.9
2018-11-16,Argentina,1881.8
2018-11-16,Mexico,1777.4
2018-11-16,Brazil,2086.8
2018-11-16,Uruguay,1874.9
2018-11-16,Egypt,1650.2
2018-11-16,Tunisia,1681.1
2018-11-17,Australia,1733.9
2018-11-17,South Korea,1754.0
2018-11-17,Turkey,1792.3
2018-11-17,Sweden,1822.1
2018-11-18,Switzerland,1895.0
2018-11-18,Belgium,1989.4
2018-11-18,England,1957.9
2018-11-18,Croatia,1910.5
2018-11-18,Spain,2011.4
2018-11-18,Bosnia and Herzegovina,1732.8
2018-11-19,Germany,1848.9
2018-11-19,Netherlands,1967.8
2018-11-20,Argentina,1888.9
2018-11-20,Mexico,1770.3
2018-11-20,France,2060.2
2018-11-20,Uruguay,1871.6
2018-11-20,Jordan,1534.5
2018-11-20,Saudi Arabia,1626.7
2018-11-20,South Korea,1761.1
2018-11-20,Uzbekistan,1492.0
2018-11-20,Panama,1551.0
2018-11-20,Ecuador,1716.2
2018-11-20,South Africa,1584.9
2018-11-20,Paraguay,1681.3
2018-11-20,Tunisia,1668.8
2018-11-20,Morocco,1710.0
2018-12-23,Qatar,1623.4
2018-12-23,Jordan,1526.6
2018-12-27,Qatar,1611.9
2018-12-27,Algeria,1682.3
2018-12-31,Qatar,1604.1
2018-12-31,Iran,1796.4
2018-12-31,South Korea,1757.4
2018-12-31,Saudi Arabia,1630.4
2019-01-06,Australia,1695.6
2019-01-06,Jordan,1565.0
2019-01-16,Iran,1784.3
2019-01-16,Iraq,1624.7
2019-01-17,Saudi Arabia,1590.1
2019-01-17,Qatar,1644.4
2019-01-17,Japan,1809.7
2019-01-17,Uzbekistan,1484.8
2019-01-21,Australia,1682.0
2019-01-21,Uzbekistan,1498.3
2019-01-21,Japan,1820.7
2019-01-21,Saudi Arabia,1579.1
2019-01-22,Qatar,1668.0
2019-01-22,Iraq,1601.1
2019-01-25,South Korea,1726.1
2019-01-25,Qatar,1699.3
2019-01-27,United States,1750.4
2019-01-27,Panama,1545.6
2019-01-28,Iran,1745.1
2019-01-28,Japan,1859.9
2019-02-01,Japan,1806.2
2019-02-01,Qatar,1753.0
2019-03-21,United States,1756.7
2019-03-21,Ecuador,1709.9
2019-03-22,Japan,1787.8
2019-03-22,Colombia,1907.0
2019-03-22,England,1969.1
2019-03-22,Czech Republic,1687.4
2019-03-23,Spain,2017.2
2019-03-23,Norway,1752.8
2019-03-23,Brazil,2077.6
2019-03-23,Panama,1554.7
2019-03-24,Netherlands,1928.9
2019-03-24,Germany,1887.9
2019-03-26,Algeria,1689.2
2019-03-26,Tunisia,1661.9
2019-03-26,Czech Republic,1682.7
2019-03-26,Brazil,2082.4
2019-03-26,South Korea,1738.4
2019-03-26,Colombia,1894.7
2019-03-26,Morocco,1702.3
2019-03-26,Argentina,1896.7
2019-03-26,Paraguay,1670.0
2019-03-26,Mexico,1781.5
2019-03-26,Norway,1750.6
2019-03-26,Sweden,1824.3
2019-06-02,Turkey,1795.1
2019-06-02,Uzbekistan,1495.5
2019-06-03,Colombia,1897.3
2019-06-03,Panama,1552.1
2019-06-05,Brazil,2084.7
2019-06-05,Qatar,1750.7
2019-06-05,Portugal,1946.1
2019-06-05,Switzerland,1870.6
2019-06-06,England,1927.3
2019-06-06,Netherlands,1970.7
2019-06-07,Uruguay,1874.4
2019-06-07,Panama,1549.3
2019-06-07,South Korea,1744.2
2019-06-07,Australia,1676.2
2019-06-07,Tunisia,1670.5
2019-06-07,Iraq,1592.6
2019-06-08,Turkey,1849.2
2019-06-08,France,2006.1
2019-06-09,Mexico,1789.5
2019-06-09,Ecuador,1701.9
2019-06-09,Switzerland,1874.7
2019-06-09,England,1923.3
2019-06-09,Portugal,1965.8
2019-06-09,Netherlands,1951.1
2019-06-10,Spain,2030.8
2019-06-10,Sweden,1810.7
2019-06-11,Belgium,1994.5
2019-06-11,Scotland,1603.5
2019-06-11,Croatia,1892.9
2019-06-11,Tunisia,1688.0
2019-06-11,South Korea,1741.4
2019-06-11,Iran,1747.9
2019-06-15,Argentina,1859.2
2019-06-15,Colombia,1934.7
2019-06-15,Ghana,1692.6
2019-06-15,South Africa,1588.0
2019-06-16,Paraguay,1675.7
2019-06-16,Qatar,1745.0
2019-06-16,Uruguay,1899.8
2019-06-16,Ecuador,1676.6
2019-06-19,Mexico,1804.2
2019-06-19,Canada,1610.5
2019-06-19,Colombia,1947.3
2019-06-19,Qatar,1732.4
2019-06-19,Argentina,1847.1
2019-06-19,Paraguay,1687.8
2019-06-20,Uruguay,1892.0
2019-06-20,Japan,1795.6
2019-06-23,Colombia,1956.4
2019-06-23,Paraguay,1678.7
2019-06-23,Qatar,1706.9
2019-06-23,Argentina,1872.7
2019-06-24,Ivory Coast,1693.0
2019-06-24,South Africa,1575.0
2019-06-24,Ecuador,1684.8
2019-06-24,Japan,1787.4
2019-06-26,Egypt,1667.2
2019-06-26,DR Congo,1605.0
2019-06-26,United States,1761.8
2019-06-26,Panama,1544.2
2019-06-27,Senegal,1702.8
2019-06-27,Algeria,1708.3
2019-06-27,Brazil,2062.3
2019-06-27,Paraguay,1701.1
2019-06-28,Morocco,1719.3
2019-06-28,Ivory Coast,1675.9
2019-06-29,Haiti,1549.9
2019-06-29,Canada,1589.0
2019-06-30,United States,1765.5
2019-06-30,Curaçao,1486.3
2019-07-01,South Africa,1564.4
2019-07-01,Morocco,1729.9
2019-07-02,Brazil,2074.2
2019-07-02,Argentina,1860.8
2019-07-02,Haiti,1543.4
2019-07-02,Mexico,1810.8
2019-07-06,Egypt,1640.5
2019-07-06,South Africa,1591.1
2019-07-07,United States,1745.3
2019-07-07,Mexico,1831.0
2019-07-08,Ghana,1692.4
2019-07-08,Tunisia,1688.2
2019-07-11,Ivory Coast,1677.6
2019-07-11,Algeria,1706.7
2019-07-14,Senegal,1719.6
2019-07-14,Tunisia,1671.5
2019-07-19,Senegal,1701.4
2019-07-19,Algeria,1724.8
2019-08-10,Jordan,1596.9
2019-08-10,Saudi Arabia,1547.2
2019-09-05,Japan,1800.7
2019-09-05,Paraguay,1687.7
2019-09-06,United States,1727.1
2019-09-06,Mexico,1849.2
2019-09-06,Germany,1846.4
2019-09-06,Netherlands,1992.5
2019-09-06,Brazil,2070.9
2019-09-06,Colombia,1959.7
2019-09-07,Curaçao,1508.2
2019-09-07,Haiti,1521.4
2019-09-08,Sweden,1799.9
2019-09-08,Norway,1761.3
2019-09-09,Iraq,1589.9
2019-09-09,Uzbekistan,1498.3
2019-09-09,Scotland,1588.7
2019-09-09,Belgium,2009.3
2019-09-10,Argentina,1878.9
2019-09-10,Mexico,1831.1
2019-09-10,Ivory Coast,1687.4
2019-09-10,Tunisia,1661.6
2019-09-10,Jordan,1581.5
2019-09-10,Paraguay,1703.1
2019-09-10,United States,1728.9
2019-09-10,Uruguay,1890.1
2019-09-10,Haiti,1513.6
2019-09-10,Curaçao,1516.1
2019-10-09,Germany,1844.5
2019-10-09,Argentina,1880.8
2019-10-10,Brazil,2063.1
2019-10-10,Senegal,1709.3
2019-10-10,Algeria,1719.2
2019-10-10,DR Congo,1610.6
2019-10-11,Czech Republic,1717.3
2019-10-11,England,1888.7
2019-10-12,Ivory Coast,1695.4
2019-10-12,DR Congo,1602.7
2019-10-12,Norway,1772.7
2019-10-12,Spain,2019.5
2019-10-13,Ecuador,1675.1
2019-10-13,Argentina,1890.6
2019-10-14,France,1990.4
2019-10-14,Turkey,1864.9
2019-10-15,Mexico,1838.4
2019-10-15,Panama,1536.9
2019-10-15,Canada,1630.8
2019-10-15,United States,1687.1
2019-10-15,Algeria,1743.4
2019-10-15,Colombia,1935.5
2019-10-15,Sweden,1808.2
2019-10-15,Spain,2011.2
2019-11-14,Ghana,1706.7
2019-11-14,South Africa,1576.7
2019-11-14,Jordan,1561.2
2019-11-14,Australia,1696.5
2019-11-14,Iraq,1618.4
2019-11-14,Iran,1719.3
2019-11-14,Uzbekistan,1475.3
2019-11-14,Saudi Arabia,1570.1
2019-11-15,Brazil,2037.5
2019-11-15,Argentina,1916.1
2019-11-15,United States,1712.4
2019-11-15,Canada,1605.5
2019-11-15,Panama,1516.0
2019-11-15,Mexico,1859.3
2019-11-18,Argentina,1915.4
2019-11-18,Uruguay,1890.9
2019-11-19,Brazil,2042.9
2019-11-19,South Korea,1736.0
2019-11-19,Ecuador,1671.4
2019-11-19,Colombia,1939.1
2019-11-19,Saudi Arabia,1571.1
2019-11-19,Paraguay,1702.1
2019-11-26,Qatar,1680.7
2019-11-26,Iraq,1644.6
2019-12-05,Qatar,1653.8
2019-12-05,Saudi Arabia,1598.0
2019-12-18,South Korea,1751.7
2019-12-18,Japan,1785.0
2020-09-03,Germany,1849.2
2020-09-03,Spain,2006.5
2020-09-04,Norway,1737.1
2020-09-04,Austria,1751.6
2020-09-05,Portugal,1989.4
2020-09-05,Croatia,1869.3
2020-09-05,Sweden,1789.0
2020-09-05,France,2009.6
2020-09-06,Switzerland,1866.0
2020-09-06,Germany,1857.9
2020-09-07,Czech Republic,1677.9
2020-09-07,Scotland,1628.1
2020-09-08,France,2024.6
2020-09-08,Croatia,1854.3
2020-09-08,Sweden,1762.0
2020-09-08,Portugal,2016.4
2020-10-07,Germany,1855.3
2020-10-07,Turkey,1867.5
2020-10-07,Netherlands,1976.7
2020-10-07,Mexico,1875.1
2020-10-07,Portugal,2013.3
2020-10-07,Spain,2009.6
2020-10-07,Switzerland,1852.9
2020-10-07,Croatia,1867.4
2020-10-08,Uzbekistan,1469.3
2020-10-08,Iran,1725.4
2020-10-08,Argentina,1920.2
2020-10-08,Ecuador,1666.6
2020-10-08,Belgium,2001.0
2020-10-08,Ivory Coast,1703.7
2020-10-09,Morocco,1739.9
2020-10-09,Senegal,1699.3
2020-10-10,Spain,2018.9
2020-10-10,Switzerland,1843.6
2020-10-11,Bosnia and Herzegovina,1742.6
2020-10-11,Netherlands,1966.9
2020-10-11,England,1914.5
2020-10-11,Belgium,1975.1
2020-10-11,Croatia,1879.1
2020-10-11,Sweden,1750.3
2020-10-11,France,2016.9
2020-10-11,Portugal,2021.1
2020-10-12,Ghana,1722.7
2020-10-12,Qatar,1637.8
2020-10-13,Germany,1847.5
2020-10-13,Switzerland,1851.4
2020-10-13,Japan,1792.7
2020-10-13,Ivory Coast,1696.0
2020-10-13,Mexico,1871.5
2020-10-13,Algeria,1747.1
2020-10-13,Morocco,1734.0
2020-10-13,DR Congo,1608.6
2020-10-13,Ecuador,1706.9
2020-10-13,Uruguay,1850.6
2020-10-14,Scotland,1649.5
2020-10-14,Czech Republic,1656.5
2020-10-14,Croatia,1856.8
2020-10-14,France,2039.2
2020-10-14,Portugal,2030.3
2020-10-14,Sweden,1741.0
2020-11-11,Belgium,1979.4
2020-11-11,Switzerland,1847.1
2020-11-11,Germany,1850.7
2020-11-11,Czech Republic,1653.3
2020-11-11,Netherlands,1965.5
2020-11-11,Spain,2020.2
2020-11-11,Turkey,1864.5
2020-11-11,Croatia,1859.9
2020-11-12,Bosnia and Herzegovina,1722.7
2020-11-12,Iran,1745.3
2020-11-12,Jordan,1563.5
2020-11-12,Iraq,1642.2
2020-11-12,Argentina,1905.8
2020-11-12,Paraguay,1716.6
2020-11-13,Japan,1796.1
2020-11-13,Panama,1512.6
2020-11-13,Colombia,1886.8
2020-11-13,Uruguay,1902.9
2020-11-14,Portugal,1998.9
2020-11-14,France,2070.6
2020-11-14,Sweden,1767.4
2020-11-14,Croatia,1833.6
2020-11-14,Switzerland,1852.2
2020-11-14,Spain,2015.0
2020-11-14,Mexico,1878.2
2020-11-14,South Korea,1745.0
2020-11-15,Netherlands,1974.6
2020-11-15,Bosnia and Herzegovina,1713.6
2020-11-15,Belgium,2000.4
2020-11-15,England,1893.6
2020-11-16,United States,1721.4
2020-11-16,Panama,1503.6
2020-11-17,Croatia,1813.2
2020-11-17,Portugal,2019.3
2020-11-17,France,2077.3
2020-11-17,Sweden,1760.7
2020-11-17,Spain,2034.1
2020-11-17,Germany,1831.6
2020-11-17,Japan,1784.6
2020-11-17,Mexico,1889.7
2020-11-17,South Korea,1752.1
2020-11-17,Qatar,1630.8
2020-11-17,Uzbekistan,1463.9
2020-11-17,Iraq,1647.6
2020-11-17,Ecuador,1755.9
2020-11-17,Colombia,1837.8
2020-11-17,Uruguay,1876.4
2020-11-17,Brazil,2069.5
2020-11-18,Austria,1743.6
2020-11-18,Norway,1745.0
2021-02-15,Jordan,1544.3
2021-02-15,Uzbekistan,1483.1
2021-03-24,Turkey,1895.3
2021-03-24,Netherlands,1943.8
2021-03-25,Scotland,1649.2
2021-03-25,Austria,1744.0
2021-03-25,South Africa,1579.4
2021-03-25,Ghana,1720.0
2021-03-25,Japan,1795.7
2021-03-25,South Korea,1740.9
2021-03-27,Czech Republic,1665.5
2021-03-27,Belgium,1988.1
2021-03-27,Norway,1724.3
2021-03-27,Turkey,1916.1
2021-03-29,Uzbekistan,1474.9
2021-03-29,Iraq,1655.8
2021-03-31,Bosnia and Herzegovina,1706.4
2021-03-31,France,2084.5
2021-05-30,Switzerland,1856.4
2021-05-30,United States,1717.2
2021-06-02,England,1897.5
2021-06-02,Austria,1740.1
2021-06-02,Netherlands,1936.9
2021-06-02,Scotland,1656.1
2021-06-03,Uruguay,1863.7
2021-06-03,Paraguay,1729.3
2021-06-04,Spain,2030.9
2021-06-04,Portugal,2022.4
2021-06-04,Brazil,2074.6
2021-06-04,Ecuador,1750.8
2021-06-05,Tunisia,1667.5
2021-06-05,DR Congo,1602.7
2021-06-06,United States,1747.4
2021-06-06,Mexico,1859.6
2021-06-06,Belgium,1991.6
2021-06-06,Croatia,1809.8
2021-06-08,Colombia,1835.9
2021-06-08,Argentina,1907.6
2021-06-08,Paraguay,1717.5
2021-06-08,Brazil,2086.3
2021-06-08,Morocco,1740.8
2021-06-08,Ghana,1713.2
2021-06-08,Senegal,1705.3
2021-06-08,Cape Verde,1550.2
2021-06-11,Tunisia,1651.6
2021-06-11,Algeria,1762.9
2021-06-12,Haiti,1493.1
2021-06-12,Canada,1625.9
2021-06-12,Panama,1518.7
2021-06-12,Curaçao,1501.0
2021-06-12,Ghana,1709.9
2021-06-12,Ivory Coast,1699.2
2021-06-13,England,1910.1
2021-06-13,Croatia,1797.1
2021-06-13,Colombia,1854.9
2021-06-13,Ecuador,1731.8
2021-06-14,Scotland,1609.0
2021-06-14,Czech Republic,1712.6
2021-06-14,Spain,2011.2
2021-06-14,Sweden,1780.4
2021-06-15,Curaçao,1496.4
2021-06-15,Panama,1523.3
2021-06-15,Canada,1648.2
2021-06-15,Haiti,1470.9
2021-06-15,Germany,1817.0
2021-06-15,France,2099.1
2021-06-15,Iran,1755.4
2021-06-15,Iraq,1645.7
2021-06-15,Australia,1708.3
2021-06-15,Jordan,1532.6
2021-06-15,Saudi Arabia,1613.2
2021-06-15,Uzbekistan,1459.7
2021-06-17,Netherlands,1948.4
2021-06-17,Austria,1728.6
2021-06-18,Croatia,1791.2
2021-06-18,Czech Republic,1718.6
2021-06-18,England,1889.6
2021-06-18,Scotland,1629.5
2021-06-18,Argentina,1929.5
2021-06-18,Uruguay,1841.8
2021-06-19,Germany,1865.5
2021-06-19,Portugal,1973.9
2021-06-20,Switzerland,1900.3
2021-06-20,Turkey,1872.2
2021-06-21,Argentina,1940.9
2021-06-21,Paraguay,1706.1
2021-06-22,Scotland,1598.6
2021-06-22,Croatia,1822.1
2021-06-22,England,1898.3
2021-06-22,Czech Republic,1709.9
2021-06-23,Portugal,1982.5
2021-06-23,France,2090.5
2021-06-23,Brazil,2092.8
2021-06-23,Colombia,1848.5
2021-06-27,Netherlands,1888.5
2021-06-27,Czech Republic,1769.7
2021-06-27,Belgium,2015.9
2021-06-27,Portugal,1958.2
2021-06-27,Brazil,2071.1
2021-06-27,Ecuador,1753.5
2021-06-28,Uruguay,1857.5
2021-06-28,Paraguay,1690.4
2021-06-28,France,2078.0
2021-06-28,Switzerland,1912.8
2021-06-28,Croatia,1803.2
2021-06-28,Spain,2030.1
2021-06-29,England,1922.2
2021-06-29,Germany,1841.7
2021-06-30,Mexico,1864.0
2021-06-30,Panama,1518.9
2021-07-02,Switzerland,1920.9
2021-07-02,Spain,2021.9
2021-07-03,Uruguay,1856.9
2021-07-03,Colombia,1849.1
2021-07-03,Argentina,1963.1
2021-07-03,Ecuador,1731.3
2021-07-06,Argentina,1955.2
2021-07-06,Colombia,1857.0
2021-07-10,Brazil,2032.3
2021-07-10,Argentina,1994.0
2021-07-11,United States,1751.0
2021-07-11,Haiti,1467.3
2021-07-13,Qatar,1625.4
2021-07-13,Panama,1524.4
2021-07-15,Haiti,1451.3
2021-07-15,Canada,1664.2
2021-07-18,South Africa,1580.7
2021-07-18,Senegal,1703.9
2021-07-18,United States,1759.9
2021-07-18,Canada,1655.3
2021-07-29,United States,1767.1
2021-07-29,Qatar,1618.2
2021-07-29,Mexico,1872.1
2021-07-29,Canada,1647.2
2021-08-01,United States,1784.8
2021-08-01,Mexico,1854.3
2021-09-01,France,2060.5
2021-09-01,Bosnia and Herzegovina,1723.9
2021-09-01,Norway,1728.0
2021-09-01,Netherlands,1884.9
2021-09-02,South Korea,1730.7
